Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
9429889,vfull,COUNTRY,HTI,AMR,YEAR,Americas,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,2016,,,,,DATASOURCE,DATASOURCE_EQ_DHS,42.1 [28.9-56.4],42.05604,28.92827,56.41258,,2022-05-26T12:12:18+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9431983,vfull,COUNTRY,VNM,WPR,YEAR,Western Pacific,AGEGROUP,AGEGROUP_YEARS15-19,2002,,,,,DATASOURCE,DATASOURCE_EQ_DHS,No data,,,,Not reported - Estimate is based on fewer than 25 cases,2022-05-26T11:07:46+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9434709,vfull,COUNTRY,TZA,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_TZADHS200416,2004,,,,,DATASOURCE,DATASOURCE_EQ_DHS,86.4 [71.1-94.3],86.44174,71.1421,94.28191,,2022-05-26T14:51:28+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9435487,vfull,COUNTRY,TZA,AFR,YEAR,Africa,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE06,2004,,,,,DATASOURCE,DATASOURCE_EQ_DHS,75.7 [67.9-82.1],75.69798,67.86861,82.12212,,2022-05-26T12:36:50+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9435927,vfull,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,2012,,,,,DATASOURCE,DATASOURCE_EQ_DHS,23.4 [16.2-32.6],23.44348,16.24002,32.59858,,2022-05-26T13:00:23+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
9436098,vfull,COUNTRY,DJI,EMR,YEAR,Eastern Mediterranean,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,2006,,,,,DATASOURCE,DATASOURCE_EQ_MICS,No data,,,,Not available,2022-05-26T12:05:53+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
9436518,vfull,COUNTRY,COL,AMR,YEAR,Americas,AGEGROUP,AGEGROUP_YEARS15-19,2005,,,,,DATASOURCE,DATASOURCE_EQ_DHS,55.7 [48.3-62.9],55.71535,48.25392,62.92746,,2022-05-26T11:00:39+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9436725,vfull,COUNTRY,GNB,AFR,YEAR,Africa,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,2018,,,,,DATASOURCE,DATASOURCE_EQ_MICS,76.0 [69.9-81.2],75.95809,69.86595,81.15088,,2022-05-26T12:53:19+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
9437224,vfull,COUNTRY,PER,AMR,YEAR,Americas,SEX,SEX_MLE,2011,,,,,DATASOURCE,DATASOURCE_EQ_DHS,72.3 [68.2-76.1],72.31352,68.23266,76.05412,,2022-05-26T11:47:43+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
9438323,vfull,COUNTRY,GHA,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_GHADHS199308,1993,,,,,DATASOURCE,DATASOURCE_EQ_DHS,39.1 [26.4-53.4],39.0625,26.41971,53.36728,,2022-05-26T14:23:30+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
9439401,vfull,COUNTRY,NIC,AMR,YEAR,Americas,EDUCATIONLEVEL,EDUCATIONLEVEL_NHLM,2001,,,,,DATASOURCE,DATASOURCE_EQ_DHS,64.8 [58.9-70.3],64.81221,58.93039,70.27654,,2022-05-26T11:21:55+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
9440019,vfull,COUNTRY,KHM,WPR,YEAR,Western Pacific,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE03,2014,,,,,DATASOURCE,DATASOURCE_EQ_DHS,58.9 [48.7-68.3],58.85359,48.70953,68.29716,,2022-05-26T12:01:53+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9440207,vfull,COUNTRY,ETH,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_ETHDHS201611,2016,,,,,DATASOURCE,DATASOURCE_EQ_DHS,75.9 [64.2-84.6],75.85459,64.20231,84.62247,,2022-05-26T14:22:34+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9440648,vfull,COUNTRY,JOR,EMR,YEAR,Eastern Mediterranean,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE06,2017,,,,,DATASOURCE,DATASOURCE_EQ_DHS,76.6 [66.3-84.5],76.60661,66.3264,84.48263,,2022-05-26T12:14:39+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9441087,vfull,COUNTRY,UZB,EUR,YEAR,Europe,SEX,SEX_FMLE,2006,,,,,DATASOURCE,DATASOURCE_EQ_MICS,87.4 [82.8-90.9],87.39229,82.80209,90.8921,,2022-05-26T11:48:56+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
9442422,vfull,COUNTRY,DOM,AMR,YEAR,Americas,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,1999,,,,,DATASOURCE,DATASOURCE_EQ_DHS,No data,,,,Not reported - Estimate is based on fewer than 25 cases,2022-05-26T12:50:22+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
9442651,vfull,COUNTRY,RWA,AFR,YEAR,Africa,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,2000,,,,,DATASOURCE,DATASOURCE_EQ_DHS,78.4 [69.2-85.4],78.37984,69.16477,85.42147,,2022-05-26T12:28:42+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
9442754,vfull,COUNTRY,KAZ,EUR,YEAR,Europe,DHSMICSGEOREGION,DHSMICSGEOREGION_KAZDHS199905,1999,,,,,DATASOURCE,DATASOURCE_EQ_DHS,70.7 [55.8-82.2],70.7193,55.83148,82.18971,Attention - Estimate is based on 25-49 cases,2022-05-26T14:30:05+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
