Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
9616431,MCV2,REGION,AMR,,YEAR,,,2019,,,,,,,,72,72.0,,,,2024-07-12T15:36:37.797+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4587541,MCV2,COUNTRY,USA,AMR,YEAR,Americas,,2004,,,,,,,,86,86.0,,,,2024-07-12T15:36:37.797+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1455421,MCV2,COUNTRY,TON,WPR,YEAR,Western Pacific,,2011,,,,,,,,99,99.0,,,,2024-07-12T15:36:37.797+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1635774,MCV2,COUNTRY,NOR,EUR,YEAR,Europe,,2023,,,,,,,,94,94.0,,,,2024-07-12T15:36:37.797+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
5120786,MCV2,COUNTRY,MEX,AMR,YEAR,Americas,,2023,,,,,,,,74,74.0,,,,2024-07-12T15:36:37.797+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
3532322,MCV2,COUNTRY,SLB,WPR,YEAR,Western Pacific,,2019,,,,,,,,54,54.0,,,,2024-07-12T15:36:37.797+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
1989508,MCV2,COUNTRY,LVA,EUR,YEAR,Europe,,2005,,,,,,,,99,99.0,,,,2024-07-12T15:36:37.797+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
7197140,MCV2,COUNTRY,SLV,AMR,YEAR,Americas,,2014,,,,,,,,85,85.0,,,,2024-07-12T15:36:37.797+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7317231,MCV2,COUNTRY,SGP,WPR,YEAR,Western Pacific,,2014,,,,,,,,90,90.0,,,,2024-07-12T15:36:37.797+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
593745,MCV2,COUNTRY,CHE,EUR,YEAR,Europe,,2018,,,,,,,,90,90.0,,,,2024-07-12T15:36:37.797+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
2556977,MCV2,COUNTRY,TJK,EUR,YEAR,Europe,,2003,,,,,,,,94,94.0,,,,2024-07-12T15:36:37.797+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
4307225,MCV2,COUNTRY,DZA,AFR,YEAR,Africa,,2016,,,,,,,,96,96.0,,,,2024-07-12T15:36:37.797+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2630542,MCV2,COUNTRY,GRD,AMR,YEAR,Americas,,2018,,,,,,,,74,74.0,,,,2024-07-12T15:36:37.797+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
2723964,MCV2,COUNTRY,KAZ,EUR,YEAR,Europe,,2006,,,,,,,,99,99.0,,,,2024-07-12T15:36:37.797+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6182539,MCV2,WORLDBANKINCOMEGROUP,WB_LMI,,YEAR,,,2000,,,,,,,,5,5.0,,,,2024-07-12T15:36:37.797+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
8018367,MCV2,COUNTRY,NOR,EUR,YEAR,Europe,,2009,,,,,,,,96,96.0,,,,2024-07-12T15:36:37.797+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
